"identifiant","nature_contrat","localisation_emploi","region_emploi","entreprise_groupe","groupe","intitule_emploi","remuneration_annuelle_brute","prime","remuneration_prime","taille_entreprise_premier_emploi","secteur_premiere_entreprise","status_cadre_premier_emploi","nom_entreprise_premier_emploi"
1789022971236640,"Mission d'intérim","En France","Occitanie","Non","","Ingénieur d'études",30000,"Non",30000,"","","",""
1798711447134060,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur chargé d'études en AEP et hydraulique ",24612,"Non",24612,"","","",""
1794779475018530,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Altereo","Ingénieure hydraulique ",NA,"Oui",NA,"","","",""
1882920793866040,"CDD (contrat de travail à durée déterminée)","En France","Provence-Alpes-Côte d'Azur","Oui","EIFFAGE","INGÉNIEUR TRAVAUX",33000,"Oui",36000,"","","",""
1793838395539780,"","","","","","",NA,"",NA,"","","",""
1767833231783100,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Nouvelle-Aquitaine","Oui","EDF SA","INGENIEUR GENIE CIVIL",34380,"Oui",38000,"","","",""
1783551662142720,"","","","","","",NA,"",NA,"","","",""
1788410788041650,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur études et travaux",30000,"Non",30000,"","","",""
1783429148215880,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingénieur conseil ",37000,"Non",37000,"","","",""
1788522924813040,"CDD (contrat de travail à durée déterminée)","En France","Auvergne-Rhône-Alpes","Oui","Nutrixo","Technicien production",26400,"Oui",28600,"De 50 à 249 salarié(e)s ","Industrie agroalimentaire ","Non","Pâtisserie les comtes de la Marche"
1782333639834270,"","","","","","",NA,"",NA,"5 000 salarié(e)s ou plus","Industrie pharmaceutique","Oui","IDEXX"
1775569932483610,"CDD (contrat de travail à durée déterminée)","A l'étranger","","Non","","Research Assistant",66000,"Oui",75000,"","","",""
1782462668826500,"Mission d'intérim","En France","Bretagne","Oui","PROVA","Ingénieur R&D",28000,"Oui",33500,"","","",""
1767827769134300,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d'Azur","Non","","Responsable de projets R&D",24000,"Non",24000,"","","",""
1789246012863790,"","","","","","",NA,"",NA,"","","",""
1788516821411240,"","","","","","",NA,"",NA,"","","",""
1776615827637770,"","","","","","",NA,"",NA,"","","",""
1798529029776330,"","","","","","",NA,"",NA,"","","",""
1788414700944440,"","","","","","",NA,"",NA,"","","",""
1782332213856140,"CDD (contrat de travail à durée déterminée)","En France","Provence-Alpes-Côte d'Azur","Oui","Groupe L'Occitane","Chargé qualité amélioration continue",34560,"Oui",35000,"","","",""
1789142416248660,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Even","Assistante qualité",19860,"Oui",21550,"De 20 à 49 salarié(e)s ","Industrie agroalimentaire ","Non","Boncolac"
1783483879051640,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d'Azur","Non","","Natural Extracts Developer",40000,"Oui",40000,"","","",""
1776626247486660,"CDD (contrat de travail à durée déterminée)","En France","Auvergne-Rhône-Alpes","Non","","",22000,"Oui",22000,"","","",""
1883067313533930,"CDD (contrat de travail à durée déterminée)","En France","Île-de-France","Oui","SODIAAL","Ingénieur Qualité Client International",28200,"Oui",30550,"","","",""
1789023084728820,"","","","","","",NA,"",NA,"","","",""
1782592364663810,"CDD (contrat de travail à durée déterminée)","En France","Grand Est","Oui","Eurial ","Ingénieure Production ",28200,"Oui",30550,"","","",""
1782332086092190,"CDD (contrat de travail à durée déterminée)","En France","Auvergne-Rhône-Alpes","Oui","Lactalis","Responsable Recherche & Développement",NA,"",NA,"","","",""
1775640685813790,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","MPA","Clinical Supply Packaging Manager",36000,"Oui",38160,"","","",""
1782977170103270,"CDD (contrat de travail à durée déterminée)","En France","Auvergne-Rhône-Alpes","Oui","Martin Braun","Ingénieur process/méthodes",25200,"Oui",31700,"","","",""
1767833412260590,"Contrat d'interim longue durée","A l'étranger","","Oui","Patek philippe geneve","ingénieur chargé de process",NA,"Oui",NA,"","","",""
1758523132419240,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d'Azur","Oui","ASSYSTEM","Ingénieur matériaux et ACV",31000,"Oui",32000,"","","",""
1794332569537410,"","","","","","",NA,"",NA,"5 000 salarié(e)s ou plus","Industrie chimique","Oui","Areva NP"
1782661106976820,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Scalian","Ingénieur d'étude",32500,"Non",32500,"","","",""
1742932406541910,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Ingénieur Logiciel",36000,"Oui",36000,"5 000 salarié(e)s ou plus","Transports (Services)","Oui","ALSTOMTransport"
1889743523247860,"","","","","","",NA,"",NA,"De 50 à 249 salarié(e)s ","Sociétés de conseil, bureaux d'études","Oui","MCA Engenierie"
1788746977637810,"CDD (contrat de travail à durée déterminée)","A l'étranger","","Non","","Chercheur ",84000,"Non",84000,"","","",""
1794190718918920,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","SAUR","Ingénieur Etudes / Travaux",31000,"Oui",35000,"5 000 salarié(e)s ou plus","Production et distribution d'eau assainissement, gestion des déchets et dépollution","Non","SAUR"
1876502131424770,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingénieur électronique",31000,"Non",31000,"","","",""
1767641909135970,"","","","","","",NA,"",NA,"","","",""
1789583114713810,"","","","","","",NA,"",NA,"250 à  4 999 salarié(e)s ","Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...)","Oui","Commissariat de l'énergie atomique"
1883551375283220,"","","","","","",NA,"",NA,"","","",""
1788522869361690,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Bertrandt","Pilote Validation",33500,"Non",33500,"","","",""
1775263968331510,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Data analyst",30000,"Non",30000,"De 20 à 49 salarié(e)s ","Activités financières et d'assurance","Non","SODA"
1768183681473490,"","","","","","",NA,"",NA,"De 50 à 249 salarié(e)s ","Sociétés de conseil, bureaux d'études","Oui","Systerel"
1768367524438020,"CDI (contrat de travail à durée indéterminée) y compris CDIC","A l'étranger","","Non","","Pre/Post-Silicon Validation Engineer",38000,"Oui",41094,"","","",""
