"identifiant","remuneration_annuelle_brute","sexe","date_diplome","filiere","nationalite_francaise","nationalite","prime","remuneration_prime","remuneration_annuelle_brute_hors_prime_premier_emploi","prime_premier_emploi","remuneration_annuelle_brute_avec_prime_premier_emploi"
"1776019526187560",75466.6666666667,"Homme",2019,"IG","Oui","","Non",78800,NA,"",NA
"1776091591635030",37500,"Femme",2017,"GBA","Oui","","Oui",39500,31000,"",34000
"1776091807833230",31600,"Femme",2021,"GBA","Oui","","Oui",34900,NA,"",NA
"1776091815313030",33200,"Femme",2019,"IG","Oui","","Oui",33500,33200,"",33500
"1776091895895960",30100,"Femme",2020,"GBA","Oui","","Oui",33550,NA,"",NA
"1776091965937530",34842.5,"Femme",2018,"GBA","Oui","","Oui",39975,NA,"",NA
"1776091965996580",34680,"Femme",2020,"MSI-app","Oui","","Oui",35680,NA,"",NA
"1776091968227540",25200,"Femme",2017,"STE","Oui","","",27800,NA,"",NA
"1776094903038990",30061,"Femme",2017,"STE","Oui","","",33614,NA,"",NA
"1776102122857150",31500,"Homme",2019,"STE","Oui","","",38000,NA,"",NA
"1776102123724400",32400,"Femme",2017,"MAT","Oui","","Oui",35100,33600,"",36400
"1776102214054560",32664,"Homme",2017,"MEA","Oui","","Oui",35372,NA,"",NA
"1776102217021450",37550,"Homme",2019,"IG","Oui","","Oui",40300,NA,"",NA
"1776102353371030",32333.3333333333,"Homme",2019,"MAT","Oui","","Oui",33333.3333333333,32000,"",33000
"1776102362293300",40800,"Homme",2020,"MAT","Oui","","Oui",44200,41200,"",45300
"1776102424878110",27150,"Homme",2018,"MEA","Oui","","Oui",29000,25000,"",30000
"1776102501602960",34500,"Homme",2018,"EGC-app","Oui","","Oui",39000,24000,"Non",24000
"1776106574024290",42500,"Homme",2021,"IG","Oui","","Oui",42500,35000,"",35000
"1776106641864830",33333.3333333333,"Homme",2020,"EGC-app","Oui","","Oui",34333.3333333333,NA,"",NA
